小区名称,均价,在售套数,所在区,所在街道
"
西湖八号公馆
",122515,0,上城,清波
"
南都花园别墅
",119951,1,西湖,文一西路
"
广宇吴山鸣翠苑
",119925,0,上城,清波
"
嘉禾苑
",119791,0,上城,清波
"
蔡官巷公寓
",119254,2,上城,清波
"
闻潮一品公寓
",118707,0,上城,南星
"
丹金桂花园
",118245,0,西湖,文三西路
"
凤起潮鸣府
",117990,9,拱墅,潮鸣
"
西子公寓
",116278,2,拱墅,武林
"
小河东河下
",116185,2,拱墅,桥西
"
上品华庭
",116022,14,上城,南星
"
武林壹号
",114726,4,拱墅,湖墅
"
观湖里
",114647,10,萧山,闻堰
"
绿城九龙仓柳岸晓风
",114055,4,滨江,长河
"
小河东河下58号
",113910,2,拱墅,桥西
"
滨江钱塘印象
",112811,9,上城,南星
"
保亿绿城奥邸国际
",110719,68,萧山,奥体
"
东方润园
",110596,10,上城,钱江新城
"
钱江候潮府
",110008,12,上城,南星
"
马塍路19号
",109567,1,西湖,文三
"
滨江保利翡翠海岸
",109246,33,上城,近江
"
海潮望月城
",108995,10,上城,四季青
"
润和山庄
",108808,1,西湖,之江
"
云桂花园
",108374,0,西湖,文三西路
"
仁滨公寓
",107708,0,上城,南星
"
凤起钱潮
",107631,14,上城,景芳
"
臻奥院
",106360,148,滨江,奥体
"
湘湖壹号
",105567,2,萧山,闻堰
"
金色海岸
",105412,8,上城,南星
"
绿城蓝色钱江
",104777,34,上城,南星
"
绿城西溪云庐
",104429,17,西湖,西溪
"
麒麟山庄
",103580,3,临安,临安
"
融创滨江御潮府
",102930,13,上城,望江
"
万科大都会79号
",102888,13,上城,钱江新城
"
中海钱江湾
",102879,14,上城,钱江新城
"
德信大家运河云庄南区
",102650,4,余杭,万达广场
"
西湖花苑
",102563,2,拱墅,武林
"
小河直街15号
",102372,1,拱墅,和睦
"
郡西别墅
",102012,5,余杭,良渚
"
中海黄龙云起
",101934,9,西湖,翠苑
"
滨江金茂府
",101717,66,滨江,滨江区政府
"
银杏汇
",101551,26,滨江,彩虹城
"
长生路48号
",100592,2,上城,湖滨
"
滨江金地御品
",99708,21,上城,望江
"
曙光路101号
",99436,0,西湖,黄龙
"
世纪西溪
",97935,0,西湖,文三西路
"
江明月朗园
",97584,192,上城,四季青
"
林语别墅
",97475,4,西湖,文一西路
"
晓风印月公寓
",97016,44,滨江,滨江区政府
"
柳浪东苑
",96782,10,上城,清波
"
金隅学府
",96080,30,上城,南星
"
新绿园
",95586,36,上城,南星
"
蕲王路11号
",94136,1,上城,湖滨
"
武林外滩
",93346,11,拱墅,朝晖
"
钱江御府
",93018,30,上城,南星
"
索菲特世外桃源
",92971,2,萧山,闻堰
"
望江府
",92751,35,上城,南星
"
滨江西溪明珠
",92715,11,西湖,西溪
"
钱江水晶澜轩
",92211,18,滨江,彩虹城
"
元华公寓
",92105,1,上城,湖滨
"
时代滨江丹枫四季
",92059,10,滨江,滨江区政府
"
融信远洋厘望轩
",91807,13,拱墅,信义坊
"
滨江华家池
",91590,36,上城,华家池
"
西湖定安名都
",91470,10,上城,清波
"
如意里
",90748,1,拱墅,桥西
"
万象城悦府
",90659,44,上城,钱江新城
"
水岸枫庭
",90483,18,上城,南星
"
滨江锦绣之城
",90430,38,拱墅,和睦
"
澄之华庭南区
",90255,38,萧山,钱江世纪城
"
首开杭州金茂府
",90125,52,拱墅,和睦
"
绿城留香园
",89888,73,上城,钱江新城
"
滨江城市之星
",88078,41,上城,钱江新城
"
高士坊巷
",87617,0,上城,鼓楼
"
清波苑
",87395,2,上城,清波
"
绿城桃源小镇观翠苑
",87046,10,余杭,小和山
"
观翠揽月轩
",87044,54,上城,七堡
"
平海路小区
",86539,1,上城,湖滨
"
溪上玫瑰园
",86387,16,余杭,翡翠城
"
洽丰里
",85600,1,上城,湖滨
"
敬胜里
",85437,3,拱墅,桥西
"
雅戈尔御西湖
",85220,38,西湖,文教
"
文二路37号
",84716,1,西湖,学军
"
德信九溪云庄
",84628,19,西湖,之江
"
西溪诚园明礼苑
",83993,8,西湖,西溪
"
融创宜和园
",83911,14,拱墅,申花
"
湖印宸山庄
",83566,17,临平,星桥
"
融信公馆arc
",83560,16,拱墅,和睦
"
同和里
",83236,2,拱墅,桥西
"
九龙仓君玺
",83228,20,拱墅,和平
"
金地自在城十方别墅
",83203,6,西湖,三墩
"
融创涌清府
",82569,17,上城,景芳
"
富越香墅
",82423,8,西湖,文一西路
"
绿城建发沁园
",82402,38,西湖,申花
"
阳明谷
",82336,7,西湖,之江
"
通惠花园
",82280,3,萧山,萧山新城区
"
滨江凯旋门
",82102,37,上城,采荷
"
赞成林风和风苑
",81983,18,上城,南星
"
杭房建发养云静舍
",81760,13,拱墅,申花
"
三衙前
",81549,4,上城,清波
"
宝石二路6号
",81179,1,西湖,黄龙
"
绿城兰园
",81069,50,拱墅,建国北路
"
远洋公馆绿园
",80761,21,拱墅,拱宸桥
"
马塍路15号
",80760,2,西湖,文三
"
小河直街
",80699,1,拱墅,和睦
"
遂安路
",80436,2,拱墅,武林
"
绿园
",80431,9,西湖,黄龙
"
万科古翠隐秀
",80355,35,拱墅,和睦
"
书香印翠
",80141,16,西湖,文教
"
文三路54号
",80052,0,西湖,学军
"
滨江观品
",79846,28,萧山,奥体
"
栖江揽月轩
",79812,61,上城,七堡
"
西溪诚园正信苑
",79710,16,西湖,西溪
"
五柳巷
",79546,0,上城,城站
"
西溪玫瑰
",79485,29,余杭,西溪
"
创世邸
",79241,115,萧山,钱江世纪城
"
长生路30号
",79190,2,上城,湖滨
"
德信臻园
",78698,18,拱墅,桥西
"
华润亚奥城南区
",78618,38,萧山,钱江世纪城
"
仁寿山
",78594,4,西湖,黄龙
"
滨江嘉品
",78490,48,萧山,钱江世纪城
"
东方苑
",78466,3,西湖,之江
"
南山路小区
",78271,3,上城,清波
"
珹上润府
",78205,21,拱墅,和睦
"
江晖府
",78025,38,滨江,长河
"
新华园
",77977,24,拱墅,湖墅
"
绿地华家池印
",77935,61,上城,华家池
"
新湖武林国际公寓
",77899,14,拱墅,体育场路
"
赞成林风映水苑
",77878,13,上城,南星
"
求智巷
",77842,20,西湖,学军
"
吴山人家
",77799,6,上城,清波
"
盛景琥林名邸
",77769,22,拱墅,申花
"
文二路57号
",77508,0,西湖,学军
"
华元和庄
",77493,3,西湖,西溪
"
紫荆欣苑
",77452,3,西湖,文一西路
"
世茂之西湖
",77447,46,滨江,彩虹城
"
春江名苑
",77283,11,上城,南星
"
三元坊巷
",77199,1,上城,湖滨
"
世贸丽晶城
",77163,52,西湖,九莲
"
东方御府
",77013,36,上城,景芳
"
融创金成杭源里
",76992,26,拱墅,大关
"
涌金花园
",76932,2,上城,清波
"
天珏华庭
",76926,21,拱墅,申花
"
澄之华庭北区
",76809,60,萧山,钱江世纪城
"
四条巷
",76770,8,上城,清波
"
融创华奥时代奥城
",76712,91,萧山,钱江世纪城
"
玉润钱潮府
",76683,81,上城,景芳
"
西溪诚园知敬苑
",76665,20,西湖,西溪
"
远洋大河宸章
",76504,34,拱墅,桥西
"
西子铭苑
",76453,24,拱墅,武林
"
湖滨阁
",76404,3,拱墅,武林
"
景瑞瑞名邸
",76395,36,萧山,钱江世纪城
"
晓月澄庐
",76223,15,余杭,未来科技城
"
北山街99号
",76171,1,西湖,黄龙
"
天璞御园
",76044,62,萧山,钱江世纪城
"
绿城运河宸园
",75965,25,拱墅,桥西
"
赛丽绿城丽园
",75916,9,上城,鼓楼
"
古翠蓝庭
",75589,15,西湖,翠苑
"
杭州公馆
",75335,38,西湖,文教
"
滨江天澜美境
",75307,12,上城,七堡
"
金帝花园
",75286,2,西湖,三墩
"
天目山路95号
",75275,1,西湖,黄龙
"
九龙仓碧玺
",75231,78,拱墅,桥西
"
九龙仓华发荟品天语城
",75210,30,拱墅,申花
"
天尔名庭
",75208,12,拱墅,申花
"
彩虹豪庭
",75143,28,滨江,彩虹城
"
南山路154-166号
",74917,0,上城,清波
"
大华西溪风情
",74738,107,余杭,西溪
"
文二新村
",74625,39,西湖,学军
"
星洲花园白沙拂庭
",74558,5,西湖,文一西路
"
吉祥寺弄
",74445,7,拱墅,桥西
"
荷花池头
",74352,2,上城,清波
"
大家武林府
",74346,15,拱墅,朝晖
"
十里风荷
",74281,36,余杭,中泰
"
崇文公寓
",74038,33,西湖,学军
"
中海御道
",73953,87,上城,钱江新城
"
首开天青里
",73602,11,拱墅,半山
"
思鑫坊
",73586,0,上城,湖滨
"
文三路232号
",73577,2,西湖,文教
"
下宁巷
",73576,33,西湖,学军
"
里仁坊巷
",73478,1,上城,湖滨
"
康都紫轩
",73397,24,上城,南星
"
蓝爵白马尊邸
",73343,2,西湖,三墩
"
华门清水湾
",73235,5,余杭,中泰
"
万丽璞丽
",73115,3,临平,临平新城
"
五福里
",72953,1,上城,湖滨
"
泰禾杭州院子
",72926,65,余杭,西溪
"
银马公寓
",72907,16,西湖,文教
"
葛洲坝龙湖中杭府
",72795,35,西湖,西溪
"
耀江广厦
",72550,4,上城,清波
"
滨江金色家园
",72520,41,上城,南星
"
曙光公寓
",72347,15,西湖,黄龙
"
玉皇山庄
",72309,1,西湖,西湖景区
"
闻潮尚庭
",72309,36,上城,南星
"
中海望庐云起武林
",72089,17,拱墅,德胜东
"
滨融府
",72053,15,拱墅,和睦
"
湖境云庐
",72001,46,余杭,未来科技城
"
文三路105号
",71841,3,西湖,文三
"
龙湖春江郦城
",71760,49,滨江,滨江区政府
"
熙晖府
",71703,29,拱墅,德胜东
"
中大文锦苑
",71671,43,西湖,学军
"
金地大运宸府
",71632,29,拱墅,桥西
"
柳营新村
",71564,0,上城,湖滨
"
西溪诚园守纯苑
",71498,25,西湖,西溪
"
文二路25号
",71461,8,西湖,学军
"
文二路48号
",71406,2,西湖,文教
"
富力西溪悦墅
",71286,28,余杭,未来科技城
"
首开东城金茂府
",71201,28,上城,城东新城
"
茂宸金座
",71198,107,上城,华家池
"
莫干山路361号
",71038,1,西湖,文教
"
白马公寓
",70989,3,拱墅,湖墅
"
文一路82号
",70965,1,西湖,文教
"
湖畔花园龙珠苑
",70935,4,西湖,文一西路
"
龙湖唐宁ONE
",70895,10,西湖,嘉绿
"
花园西村
",70697,10,西湖,文教
"
锦绣文苑
",70669,6,西湖,文三
"
镜栖绿汀里
",70588,22,余杭,未来科技城
"
寰宇天下E区
",70547,34,滨江,滨江区政府
"
清波街
",70421,5,上城,清波
"
赞成林风沁林苑
",70415,37,上城,南星
"
新城国际和园
",70380,16,上城,钱江新城
"
麒麟山庄D区
",70376,2,临安,临安
"
阳光城滨奥悦府
",70349,33,萧山,钱江世纪城
"
皓玉府
",70344,23,上城,城东新城
"
九龙仓臻玺
",70285,8,拱墅,申花
"
华润亚奥城北区
",70198,76,萧山,钱江世纪城
"
景云村小区
",70195,6,上城,清波
"
宝石二路8号
",69862,3,西湖,黄龙
"
马塍路37号
",69827,2,西湖,学军
"
马塍路28号
",69782,4,西湖,学军
"
天阳凤起
",69743,15,上城,景芳
"
万安景月湾
",69700,11,西湖,之江
"
栖霞岭
",69657,5,西湖,黄龙
"
文三路55号
",69597,2,西湖,文三
"
世茂国贸天誉湾
",69399,88,上城,火车东站
"
松木场河西
",69275,26,西湖,黄龙
"
锦尚和品府
",69239,125,拱墅,德胜东
"
龙游路
",69062,1,拱墅,武林
"
融创河滨之城水澜轩
",69004,64,西湖,西溪
"
钱塘府
",68793,61,上城,景芳
"
宝石新村
",68780,1,西湖,黄龙
"
黄龙雅苑
",68663,43,西湖,黄龙
"
马塍路30号
",68623,2,西湖,学军
"
学院路312号
",68607,4,西湖,文教
"
广宇西城美墅
",68561,47,西湖,申花
"
海潮雅园一园
",68550,14,上城,望江
"
启真名苑
",68510,10,西湖,九莲
"
星洲花园圣陶沙韵
",68476,12,西湖,文一西路
"
文二路43号
",68373,2,西湖,学军
"
合景天銮
",68364,28,拱墅,申花
"
金基晓庐
",68322,81,上城,钱江新城
"
新城国际彩园
",68310,12,上城,钱江新城
"
盛世钱塘
",68300,75,上城,钱江新城
"
马塍路24号
",68140,2,西湖,学军
"
西溪诚园致诚苑
",67995,45,西湖,西溪
"
大家绿城金麟府
",67961,31,拱墅,拱宸桥
"
曙光路125号
",67959,2,西湖,黄龙
"
宝石一路2号
",67893,2,西湖,黄龙
"
春江花月
",67794,110,上城,南星
"
中粮大悦城
",67782,45,拱墅,和睦
"
马塍路34号
",67637,3,西湖,学军
"
南兴加儿巷
",67629,2,上城,雄镇楼
"
金祝新村
",67572,38,西湖,黄龙
"
运新花苑五区
",67397,2,上城,景芳
"
君品名邸
",67335,51,萧山,钱江世纪城
"
远洋公馆
",67325,101,拱墅,拱宸桥
"
滨江御滨府
",67323,56,滨江,滨江区政府
"
文二路27号
",67286,1,西湖,学军
"
朗诗乐府
",67246,20,拱墅,德胜东
"
文二路70号
",67218,3,西湖,文教
"
美岸栖庭
",67160,28,拱墅,三塘
"
仁和路
",67054,3,上城,湖滨
"
瑞丰格林苑
",67047,2,上城,潮鸣
"
建德路
",67009,5,拱墅,武林
"
柳浪新苑
",66998,16,上城,清波
"
庆春御府
",66955,8,上城,采荷
"
松木场社区
",66841,33,西湖,黄龙
"
文二路33号
",66683,2,西湖,学军
"
马塍路32号
",66658,19,西湖,学军
"
求智弄
",66577,22,西湖,学军
"
顺发美哉美城
",66569,126,萧山,钱江世纪城
"
寰宇天下D区
",66516,25,滨江,滨江区政府
"
岳王路19号
",66346,0,上城,湖滨
"
求是村
",66311,92,西湖,黄龙
"
昆仑公馆
",66191,17,拱墅,朝晖
"
文二路51号
",66137,3,西湖,学军
"
金瑞城市风景
",66062,16,拱墅,桥西
"
水岸帝景
",66058,15,上城,钱江新城
"
省级机关宿舍
",66017,1,西湖,黄龙
"
金祝花园
",66000,8,西湖,黄龙
"
日晖新村
",65935,16,西湖,文教
"
学院路304号
",65918,3,西湖,文教
"
国樾湾
",65883,21,拱墅,拱宸桥
"
钱江水晶城
",65870,42,滨江,彩虹城
"
滨江龙湖东潮府
",65845,19,上城,城东新城
"
府尚别墅
",65723,8,萧山,闻堰
"
湖畔花园太子苑
",65717,4,西湖,文一西路
"
长生路31号
",65685,1,上城,湖滨
"
马塍路29号
",65658,2,西湖,学军
"
郡西云台
",65545,14,余杭,良渚
"
花园南村
",65358,11,西湖,文教
"
阳光城檀映里
",65223,18,拱墅,三塘
"
文三路59号
",65206,2,西湖,文三
"
四宜路10号
",65118,0,上城,清波
"
星翠澜庭
",65090,28,萧山,钱江世纪城
"
旭辉和昌都会山
",65081,100,萧山,钱江世纪城
"
文二路19号
",65056,1,西湖,学军
"
金成花园别墅
",64919,2,西湖,文一西路
"
万科新都会1958
",64604,19,拱墅,德胜东
"
华清山庄
",64582,4,临平,临平新城
"
绿城明月江南
",64581,90,滨江,滨江区政府
"
马塍路33号
",64549,8,西湖,学军
"
铁路新村
",64539,8,西湖,黄龙
"
旭江华庭
",64350,179,滨江,奥体
"
南山路260号
",64335,1,上城,湖滨
"
日耀之城
",64316,105,萧山,钱江世纪城
"
兰庭国际
",64277,18,西湖,文教
"
传宸府
",64228,24,拱墅,拱宸桥
"
水色宜居
",64199,26,拱墅,申花
"
平海公寓
",64180,19,上城,湖滨
"
龙湖春江彼岸
",64157,132,滨江,奥体
"
保利中盛府
",64115,66,上城,景芳
"
宝石二路7号
",64058,0,西湖,黄龙
"
将军路
",64042,2,上城,湖滨
"
西溪河东
",64021,18,西湖,学军
"
中大广场
",63856,4,拱墅,天水
"
金都城市芯宇
",63840,82,西湖,文教
"
万和玺园
",63778,25,拱墅,三塘
"
耀江文鼎苑
",63723,160,西湖,申花
"
上宁新村
",63690,17,西湖,文三
"
青枫墅园二期-鹭语阁排屋
",63671,26,余杭,未来科技城
"
桃花弄
",63620,7,西湖,黄龙
"
坤和西溪里
",63566,64,西湖,西溪
"
皇朝城市花园
",63499,9,西湖,文三西路
"
融创河滨之城雨澜轩
",63449,90,西湖,西溪
"
邮电路16-38号
",63384,16,上城,湖滨
"
名城公馆
",63357,32,拱墅,桥西
"
王家弄
",63307,10,西湖,黄龙
"
友谊新村
",63298,28,西湖,黄龙
"
杭大新村
",63290,9,西湖,黄龙
"
滨江望品
",63265,16,拱墅,大关
"
绿城伍重院
",63259,5,临平,东湖
"
体育场路472号
",63075,0,西湖,黄龙
"
环城西路83号
",63039,2,西湖,黄龙
"
花园北村1212宿舍
",63025,1,西湖,文教
"
新民村2号
",63011,2,上城,清波
"
罗马公寓
",63008,6,西湖,黄龙
"
体育场路466号
",63005,1,西湖,黄龙
"
嘉南公寓吟泉居
",62989,1,西湖,文一西路
"
甬江嘉院
",62942,3,上城,望江
"
欣盛东方福邸
",62927,111,拱墅,申花
"
白云深处
",62916,43,余杭,未来科技城
"
九树公寓
",62898,1,西湖,之江
"
孝丰路35号(平)
",62857,0,拱墅,武林
"
青芝坞
",62853,4,西湖,黄龙
"
滨江紫金府
",62821,34,西湖,申花
"
天目山路28-1号
",62772,1,西湖,文三
"
清波新村
",62726,12,上城,清波
"
翡翠之星公寓
",62710,38,萧山,萧山新城区
"
珊瑚世纪雅园
",62632,42,西湖,之江
"
春月锦庐
",62618,31,拱墅,三里亭
"
文二路68号
",62595,6,西湖,文教
"
马塍路11号
",62589,18,西湖,文三
"
中企艮山府西区
",62481,16,上城,景芳
"
天阳尚景国际
",62477,30,拱墅,申花
"
碧桂园西江月
",62459,16,拱墅,申花
"
云栖蝶谷
",62417,8,西湖,之江
"
马塍路35号
",62311,3,西湖,学军
"
体育场路523号
",62261,1,西湖,黄龙
"
唐郡
",62157,1,桐庐,桐庐
"
今日嘉园
",62122,20,西湖,文教
"
绿城华润晓月映翠
",62116,47,滨江,长河
"
劳动路
",62114,14,上城,清波
"
文二路21号
",62110,9,西湖,学军
"
文二路23号
",61949,0,西湖,学军
"
浙旅德信西宸
",61917,17,拱墅,申花
"
胜利新村
",61916,32,西湖,黄龙
"
星瓒颂锦府
",61771,127,拱墅,和睦
"
丽景西苑
",61744,5,拱墅,长庆
"
曙光路
",61667,6,西湖,黄龙
"
四宜路14号
",61658,2,上城,清波
"
香格里拉别墅
",61566,49,余杭,良渚
"
比胜庙巷20号
",61552,0,上城,湖滨
"
延庆里6号
",61495,3,上城,湖滨
"
莱蒙水榭春天
",61474,53,滨江,奥体
"
小河路338号
",61459,3,拱墅,桥西
"
体育场路557号
",61439,2,西湖,黄龙
"
武林门新村
",61340,18,西湖,文三
"
杭大路28号
",61340,1,西湖,黄龙
"
混堂巷20号
",61132,4,西湖,文三
"
文二路162号
",61118,3,西湖,文教
"
桂花城紫云苑
",61110,1,西湖,文一西路
"
西城年华
",61097,71,西湖,申花
"
绿城西子锦兰公寓
",61016,23,拱墅,大关
"
南都天水苑
",60996,7,拱墅,天水
"
体育场路470号
",60963,4,拱墅,武林
"
桂花城
",60952,40,西湖,文一西路
"
莫干山路79号
",60928,10,西湖,文三
"
新民村1号
",60924,3,上城,清波
"
中豪晴园
",60908,16,西湖,文教
"
绿城桂冠东方
",60817,363,萧山,钱江世纪城
"
蕙宜村
",60768,5,上城,湖滨
"
和润园
",60753,3,西湖,文一西路
"
万科西庐一期
",60736,46,西湖,西溪
"
望澜府
",60719,17,拱墅,拱宸桥
"
富越香溪
",60676,18,西湖,西溪
"
保利天汇
",60667,72,滨江,长河
"
和家园玺园
",60658,4,西湖,西溪
"
里东山弄
",60648,26,西湖,黄龙
"
众安溪园
",60571,17,余杭,闲林
"
桃园新村
",60544,16,西湖,黄龙
"
环城西路58号
",60527,0,拱墅,武林
"
滨江御虹府
",60526,88,萧山,钱江世纪城
"
沿山河新村
",60512,9,西湖,黄龙
"
圣苑小区
",60507,31,西湖,申花
"
金鹿雅园
",60488,2,拱墅,丝绸城
"
杭大路38号
",60474,5,西湖,黄龙
"
景瑞申花壹号院
",60438,43,拱墅,申花
"
尚城墅
",60415,12,滨江,浦沿
"
保俶花园
",60403,6,西湖,文教
"
文三新村
",60372,21,西湖,文三
"
文一路78号
",60370,1,西湖,文教
"
万寿亭公寓
",60360,3,拱墅,武林
"
宋浇造巷
",60351,12,上城,湖滨
"
文三路103号
",60342,7,西湖,文三
"
梧桐公寓
",60315,20,西湖,文教
"
绿城西子紫兰公寓
",60308,10,拱墅,信义坊
"
凯德龙湾
",60305,19,拱墅,桥西
"
绿城慧园
",60226,41,拱墅,申花
"
文二路172号
",60145,1,西湖,文教
"
西溪河下78号
",60100,1,西湖,文教
"
曙光新村
",60060,60,西湖,黄龙
"
金都富春山居
",59986,52,富阳,银湖科技城
"
长生路小区
",59951,3,上城,湖滨
"
学院路212号
",59915,2,西湖,文教
"
保俶路
",59889,26,西湖,黄龙
"
耀江文欣苑
",59847,15,西湖,文教
"
武林巷38号
",59718,2,西湖,文三
"
窑背巷6号
",59652,4,西湖,文三
"
柳浪阁
",59591,13,上城,清波
"
嘉宸天誉名轩
",59531,63,萧山,萧山新城区
"
桂语听澜轩
",59512,34,萧山,萧山新城区
"
文二路166号
",59499,0,西湖,文教
"
西溪路22-97号
",59472,21,西湖,黄龙
"
体育场路468号
",59417,1,西湖,黄龙
"
武林花园
",59412,13,西湖,文三
"
玉古路139号
",59317,2,西湖,黄龙
"
丽阳苑
",59264,4,西湖,申花
"
祥生云境
",59248,20,西湖,之江
"
顺发吉祥半岛
",59215,46,拱墅,桥西
"
马塍路8号
",59211,5,西湖,文三
"
天阳尚景国际二期
",59202,17,拱墅,申花
"
马塍路2号
",59043,2,西湖,文三
"
师苑新村
",58933,23,西湖,文教
"
开化路
",58932,0,拱墅,武林
"
德信宸光里
",58926,14,上城,城东新城
"
未央村
",58915,8,拱墅,湖滨
"
文天公寓
",58873,7,西湖,文三
"
龙湖滨康天曜城
",58867,71,滨江,西兴
"
仁和里
",58834,0,上城,湖滨
"
博学玉府
",58774,8,萧山,萧山新城区
"
和乐苑
",58718,0,拱墅,武林
"
外东山弄
",58689,53,西湖,黄龙
"
曙光路三弄
",58685,5,西湖,黄龙
"
莫干山路605号
",58675,0,西湖,文教
"
上尚庭
",58660,39,拱墅,申花
"
四宜亭50号
",58574,0,上城,清波
"
文二路64号
",58527,3,西湖,文教
"
绿城九龙仓桂语江南
",58500,37,萧山,萧山新城区
"
曙光路17号
",58475,1,西湖,黄龙
"
教工路138号
",58418,6,西湖,文教
"
武林巷5-20号
",58390,8,西湖,文三
"
石灰桥新村
",58381,40,西湖,文教
"
荣安望江南
",58346,24,滨江,滨江区政府
